karar	iddia	beklenen_kanit	bulunan	verdict	tur
94	/katmanlar route YOK	araması sıfır mı	src/ genelinde /katmanlar route SIFIR (tek 'katmanlar' geçişi kodlar.ts:7 yorumunda, ilgisiz bağlam)	TEYIT	1
143	/test ODA_MAP'te	var mı	oda-map.ts içinde /test SIFIR — 29 sluğun hiçbiri /test değil	SAPMA	1
147	robots.txt = User-agent: * / Disallow: /	public/robots.txt	"public/robots.txt son iki satır: ""User-agent: *"" ve ""Disallow: /"". Üstünde lansman sonrası hedef hâli yorum olarak duruyor"	TEYIT	1
199	--isi-acilis … --isi-donus + --kor-cizgi	tokens.css	tokens.css:38-43 altı ısı token'ı (acilis/inis/uyanis/durus/gecis/donus) + tokens.css:44 --kor-cizgi:#8A5A3A	TEYIT	1
204	--altin tek-kaynak, hardcode yok	tokens.css + repo genelinde rgba(212,168,85) sıfır	KISMEN DÜZELTİLDİ (commit 75e5274). Hardcode temizliği TAMAM: atmosfer.css:93,103 ve Hero.astro:117,132 artık color-mix(in srgb, var(--gold) 2%, transparent) — hesaplanan renk rgba(212,168,85,0.02) ile birebir (--gold=#D4A855=212,168,85). Kalan tek geçiş tokens.css:26 (--gold-soft TANIMI, hardcode değil). _onizleme_placeholder.ts:17 dokunulmadı — SVG data-URI üretir, CSS custom property çözemez; yorumla --gold eşleşmesi işaretlendi. AÇIK KALAN: token adı '--altin' DEĞİL '--gold' ve öyle kalıyor (Kaan onayı: --ember/--ash/--cream-soft de İngilizce, sapan KARAR 204'ün metni). Karar metni ledger'da düzeltilmeli	KISMEN	4
205	/iletisim/bize-yaz route	var mı	src/pages/iletisim/bize-yaz.astro dosyası var + ODA_MAP'te kayıtlı	TEYIT	1
212	WhatsappYuzen.astro Layout'a bağlı	var mı	src/components/WhatsappYuzen.astro var; Layout.astro:7 import + :102 <WhatsappYuzen /> render	TEYIT	1
214	/[format]/kayit DİNAMİK route	var mı, hangi formatlar	Dinamik [format] klasörü YOK. Yedi STATİK dosya: pages/atolye/kayit.astro, acik-kapi/kayit.astro, yolculuk/kayit.astro, cember/kayit.astro, mini-retreat/kayit.astro, seremoni/kayit.astro, sehir-aksami/kayit.astro	KISMEN	1
226	src/lib/zoom.ts + api/zoom-olustur.ts	var mı	src/lib/zoom.ts var; src/pages/api/zoom-olustur.ts var	TEYIT	1
236	ODA_MAP genişletildi (o gün 26)	eleman sayısı	oda-map.ts 29 slug: /, /hikaye, /felsefe, /adimiz, /araclar, /site-rehber, /hakkimizda, /gizlilik, /mesafeli-satis, /teslimat-iade, /odeme/mock, /odeme/tamam, /odeme/iptal, /sen-neredesin, /bulusmalar, /cember, /acik-kapi, /seremoni, /atolye, /sehir-aksami, /mini-retreat, /takvim, /yolculuk, /anadolu, /biz, /advaita, /ekip, /iletisim, /iletisim/bize-yaz	TEYIT	1
279	Liste filtresi bugundenSonra + durum ∈ {Kayıt Açık, Dolu}	SonrakiBulusma.astro + EtkinlikTakvimi.astro	etkinlik-server.ts:19 AKTIF_DURUM = new Set(['Kayıt Açık','Dolu']) + :23 bugundenSonra(tumu); SonrakiBulusma.astro:22 import + :67 çağrı; EtkinlikTakvimi.astro:18 import + :34 bugundenSonra(tum)	TEYIT	1
281	Semantik dikey ritim token sistemi	tokens.css ritim token adları	tokens.css:115-122 sekiz --rhythm-* token (block, heading-before, heading-after, section-top, section-bottom, section-x, block-mobile, heading-before-m) + :98-108 --space-1..11 ölçek	TEYIT	1
284	Takvim tepe tab explicit sıralama	FORMAT_ORDER kullanımı	DÜZELTİLDİ (commit 0b62473). Sıra tek kaynağa indi: bulusmalar.astro:53 FORMAT_ORDER artık KATEGORI_SIRA.flatMap ile türetiliyor, id FORMAT_KATEGORI etiket→slug eşlemesinden. EtkinlikTakvimi.astro:44-46 zaten KATEGORI_SIRA kullanıyordu — iki yüzey artık aynı diziye bağlı (KARAR 395). Türetilen dizi eski elle yazılmış diziyle BİREBİR aynı, sekme sırası değişmedi. Filtre: BULUSMALAR_DISI={anadolu} açık dışlama (Anadolu Yolculuğu /anadolu'da yaşar). Eşleşmeyen etiket build warn'ı basar, sessiz düşmez. NOT: takvime DOKUNULMADI — brief'in ilk hâli regresyon üretecekti	TEYIT	4
334/424	Buton metni Kayıt Tipi'nden runtime türetiliyor	"Direkt→""Yerini ayır"", Başvuru→""Başvur"" kodda mı hardcode mu"	KayitBtn.astro:42 metin = etkinlik.kayitTipi === 'Başvuru' ? 'Başvur' : 'Yerini ayır' (runtime); api.ts:55 kayitTipi?: 'Direkt' | 'Başvuru' union; kayit.test.ts:128/138/146 üç test üç yolu da kapsıyor	TEYIT	1
339	FORMAT_ORDER kanonik H5 sırası, YEDİ kapı	dizinin eleman sayısı ve sırası	bulusmalar.astro:40-48 yedi eleman, sıra: format-acik-kapi, format-cember, format-seremoni, format-atolye, format-sehir-aksami, format-mini-retreat, format-yolculuk	TEYIT	1
350	Vitrin sol şerit --ember 3px STATİK	atmosfer.css — bu selektörde :hover olmamalı	'vitrin' adlı selektör YOK (yalnız yorum atmosfer.css:597, remark-ocak-sections.ts:129 CARD_SECTIONS). Aday 1: .liste__oge:433-440 border-left 2px var(--ray-notr), article.liste__oge + details.liste__oge[open]:444-446 → var(--ember); :hover kuralı YOK. Aday 2: .ocak-yon-kart:630-638 2px var(--ember), .ocak-yon-kart--merkez:645-646 3px var(--gold); :hover kuralı YOK	KISMEN	1
370	main::before ayrı ember gradyan katmanı YOK	repo genelinde main::before	"CSS kuralı SIFIR. Yalnız yorum: atmosfer.css:27-28, atmosfer.css:32 ""#main::before BLOĞU SİLİNDİ"", Nav.astro:66"	TEYIT	1
371	.hero { overflow: hidden } KALDIRILDI	repo genelinde bu kural olmamalı	"Hero.astro:79 yorum ""overflow:hidden KALDIRILDI (Test A doğrulaması)""; .hero altında overflow kuralı SIFIR"	TEYIT	1
372	"Ledger: ""clip geçişi UYGULANMADI"""	html,body overflow-x değeri	global.css:21 overflow-x:clip (html) + :142 overflow-x:clip (body) + :152-154 @supports not (overflow-x:clip){html,body{overflow-x:hidden}} — clip UYGULANMIŞ, hidden yalnız eski-Safari fallback	SAPMA	1
