no	tarih	baslik	durum	iliski	kaynak
187	2026-05-31	Sabit-px `::after` glow taşması (Brief M)	AKTIF	↔372	ocak-kronoloji.md:4669
334	2026-07-05	Kayıt butonu metni Kayıt-Tipi şablonuna bağlandı ("Yerini ayır")	SUPERSEDE	→424	ocak-kronoloji.md:5448
336	2026-07-05	Sol ember çizgi — ember/durum ayrımı	SUPERSEDE	→414	ocak-referans.md:1179
372	2026-07	Mobil zoom-out ilkesi — `hidden` extent silmez, `clip` siler	KALICI	↔187 · clip UYGULANDI (kod teyitli, pilot bayat)	src/styles/global.css:21,142
398	2026-07	Çekirdek ekip yapısı — psikolog rolü çekirdekten çıkarıldı	AKTIF		ocak-referans.md:862
404	2026-07	İmza cümleler eksen ayrımı — üçü de yaşar	KALICI		ocak-referans.md:141
405	2026-07	/atolye karar sayfasıdır — ölçüt "seçim mi merak mı"	SUPERSEDE	→413	ocak-kronoloji.md:5447
406	2026-07	kayit-cta marker'ı component instance'a delege	SUPERSEDE	→423	ocak-kronoloji.md:5447
423	2026-07	kayit-cta emekli → sonraki-bulusma + mini-cta iki-section	AKTIF	←307,332,335,406,433 · SSR sayfalarda statik teyit yok	ocak-pilot.md:3
424	2026-07	CTA buton dili — tek-etkinlik vs havuz revizesi	AKTIF	←334,445	ocak-referans.md:1221
432	2026-07-12	Fiyat sayfada geçmez; "sembolik" de "yatırım" da denmez	KALICI		ocak-pilot.md:59
433	2026-07-12	Format sayfası kayıt CTA'sı için Notion marker zorunluluğu	SUPERSEDE	→423	ocak-referans.md:1219
444	2026-07	Sıklık sözü yasağı — "ayda en az bir" düştü, takvim gösterir	KALICI		ocak-pilot.md:63
445	2026-07	CTA buton dili — tek etkinlik vs havuz kuralı	SUPERSEDE	→424 (kısmen)	ocak-referans.md:1221
47	2026-02-19	İlk yıl Advaita merkezli + ekip geçiş zaman çizelgesi	AKTIF		ocak-kronoloji.md:99
93	2026-05-21	Section etiketi retrofit tamam — 13 sayfa, standart sabit	AKTIF		ocak-kronoloji.md:176
