no	ilk_gecis_dosya	ilk_gecis_satir	toplam_gecis	baglam	tarih_ipucu	supersede_sinyali	uygulanmama_sinyali	karar_adayi	notes_gecis
1	ocak-kronoloji.md	19	8	jik tarihçe** (Bölüm B + dönem eklemeleri) — sohbet sohbet, KARAR 1'den bugüne | Append-only, asla düzenlenmez |		0	0	0	0
2	ocak-kronoloji.md	42	2	- **KARAR 2:** Anadolu Merkez — Pazar Stratejisi (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
3	ocak-kronoloji.md	43	1	- **KARAR 3:** Online Versiyonlar (PARK EDİLDİ) — 5 evre için online programlar henüz detaylandırılmadı	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
4	ocak-kronoloji.md	44	1	- **KARAR 4:** İsim Çalışması → KARAR 14'te OCAK olarak kesinleşti	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
5	ocak-kronoloji.md	45	2	- **KARAR 5:** AÇILIŞ + Kutsal Takvim — 15 Aylık (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
6	ocak-kronoloji.md	46	2	- **KARAR 6:** Retreat Süreleri (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
7	ocak-kronoloji.md	47	2	- **KARAR 7:** Mekânla Çalışmak (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
8	ocak-kronoloji.md	48	2	- **KARAR 8:** Aralık Yapısı — Retreatler Arası Program (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
9	ocak-kronoloji.md	49	2	- **KARAR 9:** Katılımcı Screening / Seçim Süreci (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
10	ocak-kronoloji.md	50	2	- **KARAR 10:** İç Yolculuk Mimarisi — Kapalı Kohort (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
11	ocak-kronoloji.md	51	1	- **KARAR 11:** Lokasyonlar (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
12	ocak-kronoloji.md	52	1	- **KARAR 12:** Tohumlama Dönemi — Şubat 2026 → Eylül 2026 (DETAYLANDIRILDI → KARAR 28 → 32)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
13	ocak-kronoloji.md	53	2	- **KARAR 13:** Türkiye Versiyonu — Anadolu Yolculuğu (Bölüm A.10)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
14	ocak-kronoloji.md	44	4	- **KARAR 4:** İsim Çalışması → KARAR 14'te OCAK olarak kesinleşti	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
15	ocak-kronoloji.md	58	3	- **KARAR 15:** Hedef Kitle Profili v1 — "Eşik Kadını" (Bölüm A.4)	## Sohbet #2 (11 Şubat 2026 — İkinci Oturum)	0	0	0	0
16	ocak-kronoloji.md	59	6	- **KARAR 16:** Ekosistem Mimarisi — 4 Katman (Bölüm A.3)	## Sohbet #2 (11 Şubat 2026 — İkinci Oturum)	0	0	0	0
17	ocak-kronoloji.md	60	3	- **KARAR 17:** Araç Kutusu Yapısı — AL · OL · VER (Bölüm A.3, Bölüm A.6)	## Sohbet #2 (11 Şubat 2026 — İkinci Oturum)	0	0	0	0
18	ocak-kronoloji.md	61	2	- **KARAR 18:** Marka Konumlandırma Çekirdeği (Bölüm A.1)	## Sohbet #2 (11 Şubat 2026 — İkinci Oturum)	0	0	0	0
19	ocak-kronoloji.md	62	2	- **KARAR 19:** Katman 1 — ÇEMBER İçerik Detayı (Bölüm A.7)	## Sohbet #2 (11 Şubat 2026 — İkinci Oturum)	0	0	0	2
20	ocak-kronoloji.md	63	2	- **KARAR 20:** Katman 2 — DENEYİMLER İçerik Detayı (Bölüm A.8)	## Sohbet #2 (11 Şubat 2026 — İkinci Oturum)	0	0	0	0
21	ocak-kronoloji.md	64	2	- **KARAR 21:** Dış Uzman Stratejisi — Hibrit Model (Bölüm A.11)	## Sohbet #2 (11 Şubat 2026 — İkinci Oturum)	0	0	0	0
22	ocak-kronoloji.md	65	11	- **KARAR 22:** Gelir Mimarisi Mantığı (Bölüm A.14)	## Sohbet #2 (11 Şubat 2026 — İkinci Oturum)	0	0	0	1
23	ocak-kronoloji.md	69	1	- **KARAR 23:** İngilizce İsim — OCAK Global Kalıyor (Bölüm A.1)	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
24	ocak-kronoloji.md	70	2	- **KARAR 24:** Domain Stratejisi (Bölüm A.1) — Güncellenmiş: KARAR 48	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
25	ocak-kronoloji.md	71	3	- **KARAR 25:** Kadının Yolculuk Haritası — 9 Eşik + Spiral (Bölüm A.12)	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
26	ocak-kronoloji.md	72	3	- **KARAR 26:** KÖZ Metaforu — 6 Katmanlı Derinlik (Bölüm A.1)	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
27	ocak-kronoloji.md	73	2	- **KARAR 27:** Yıl 1 Abonelik Modeli Yok (Bölüm A.14)	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
28	ocak-kronoloji.md	52	5	humlama Dönemi — Şubat 2026 → Eylül 2026 (DETAYLANDIRILDI → KARAR 28 → 32)	## Sohbet #1 (11 Şubat 2026 — İlk Oturum)	0	0	0	0
29	ocak-kronoloji.md	75	1	- **KARAR 29:** Online Strateji — Açık Kapı + Çember Ayrımı (Detaylandırıldı KARAR 45'te)	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
30	ocak-kronoloji.md	76	2	- **KARAR 30:** Şehir Stratejisi — Yıl 1 (Bölüm A.14)	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
31	ocak-kronoloji.md	77	1	- **KARAR 31:** Ürün/Format Tam Haritası (Bölüm A.3 + Bölüm A.7-9)	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
32	ocak-kronoloji.md	74	2	Eylem Planı — Şubat-Eylül 2026 (Bölüm A.14) — Güncellenmiş: KARAR 32	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
33	ocak-kronoloji.md	82	1	- **KARAR 33:** Web Sitesi — Platform (Sohbet #7'de güncellendi → KARAR 50)	## Sohbet #4 (13 Şubat 2026 — Dördüncü Oturum)	0	0	0	0
34	ocak-kronoloji.md	83	1	- **KARAR 34:** Web Sitesi — Açılış Yapısı (Tamamen yenilendi → KARAR 50)	## Sohbet #4 (13 Şubat 2026 — Dördüncü Oturum)	0	0	0	0
35	ocak-kronoloji.md	84	3	- **KARAR 35:** Görsel Kimlik Yönü (Bölüm A.16)	## Sohbet #4 (13 Şubat 2026 — Dördüncü Oturum)	0	0	0	0
36	ocak-kronoloji.md	85	3	- **KARAR 36:** Fotoğraf Çekim Planı (Bölüm A.16)	## Sohbet #4 (13 Şubat 2026 — Dördüncü Oturum)	0	0	0	0
37	ocak-kronoloji.md	86	2	- **KARAR 37:** Instagram Stratejisi (Bölüm A.17)	## Sohbet #4 (13 Şubat 2026 — Dördüncü Oturum)	0	0	0	0
38	ocak-kronoloji.md	87	2	- **KARAR 38:** Blog Stratejisi — "Ateş Başı" (Bölüm A.17)	## Sohbet #4 (13 Şubat 2026 — Dördüncü Oturum)	0	0	0	0
39	ocak-kronoloji.md	88	2	- **KARAR 39:** Site Dili — Sadece Türkçe (Bölüm A.15)	## Sohbet #4 (13 Şubat 2026 — Dördüncü Oturum)	0	0	0	0
40	ocak-kronoloji.md	92	3	- **KARAR 40:** OCAK Way — Üç Prensip + Katman Dozu (Bölüm A.5)	## Sohbet #5 (19 Şubat 2026 — Beşinci Oturum)	0	0	0	0
41	ocak-kronoloji.md	93	2	- **KARAR 41:** OCAK'ın İmzası — Ateş (Bölüm A.5)	## Sohbet #5 (19 Şubat 2026 — Beşinci Oturum)	0	0	0	1
42	ocak-kronoloji.md	94	2	- **KARAR 42:** OCAK Araç Kutusu — Genişletilmiş 7 Kategori (Bölüm A.6)	## Sohbet #5 (19 Şubat 2026 — Beşinci Oturum)	0	0	0	0
43	ocak-kronoloji.md	95	2	- **KARAR 43:** Çember Akış Formatı (Bölüm A.7)	## Sohbet #5 (19 Şubat 2026 — Beşinci Oturum)	0	0	0	1
44	ocak-kronoloji.md	96	2	- **KARAR 44:** Çember Açık/Kapalı Hibrit Model (Bölüm A.7)	## Sohbet #5 (19 Şubat 2026 — Beşinci Oturum)	0	0	0	1
45	ocak-kronoloji.md	75	4	nline Strateji — Açık Kapı + Çember Ayrımı (Detaylandırıldı KARAR 45'te)	## Sohbet #3 (13 Şubat 2026 — Üçüncü Oturum)	0	0	0	0
46	ocak-kronoloji.md	98	2	- **KARAR 46:** Online Ağırlıklı Çember Modeli (Bölüm A.7)	## Sohbet #5 (19 Şubat 2026 — Beşinci Oturum)	0	0	0	1
47	ocak-kronoloji.md	99	12	- **KARAR 47:** İlk Yıl Advaita Merkezli + Ekip Geçiş Zaman Çizelgesi (Bölüm A.11)	## Sohbet #5 (19 Şubat 2026 — Beşinci Oturum)	1	0	0	0
