no	dosya	mevcut_satir	puan	aday_kaynak	aday_metin	durum
47	2026-02.md	72	0			ADAY YOK
93	2026-05.md	86	5	2026-05.md:542	**Bu sohbetin işi:** 3 brief tek sohbette, 6 commit zinciri (`c4c2433` → `ea52845`), 6 sayfa kategori-ayrımı (sıfır kod / atmosfer fix / page override), ~10 Not	2 aday
93	2026-05.md	86	3	2026-05.md:3810	"- **Veri merkezi (içerik canlı binding aktif Mayıs 2026, form veritabanı lansman sonrası):** Notion. Internal Integration ""Ocak Site"" kuruldu (KARAR 97), Sayfal"	2 aday
96	2026-05.md	94	5	2026-05.md:3822	**Astro Mimarisi (KARAR 96) — Detay:**	8 aday
96	2026-05.md	94	3	2026-05.md:4145	- `astro` → iki advisory feature-bağımlı: `define:vars` XSS sadece bu feature'ı kullanan sayfalarda, server island replay sadece server islands kullanılırsa. Pr	8 aday
96	2026-05.md	94	3	2026-05.md:4017	**B. Davranış (KARAR 96 — dokunulmaz):**	8 aday
97	2026-05.md	95	3	2026-05.md:3970	1. **`kso2025/ocak-site` public yapıldı.** Token zaten env'de (KARAR 97), public/private güvenlik için önemsiz. Bir sonraki sohbette Claude (veya Claude Code) r	2 aday
97	2026-05.md	95	3	2026-05.md:3810	"- **Veri merkezi (içerik canlı binding aktif Mayıs 2026, form veritabanı lansman sonrası):** Notion. Internal Integration ""Ocak Site"" kuruldu (KARAR 97), Sayfal"	2 aday
98	2026-05.md	96	6	2026-05.md:3846	**Repo Adı Düzeltmesi (KARAR 98):** Çekirdek v20'ye kadar `kso2025/Ocak` olarak yazıyordu — doğrusu `kso2025/ocak-site`. Eski repo silinmiş. Bu sohbette Çekirde	2 aday
98	2026-05.md	96	2	2026-05.md:3811	- **admin.html:** İPTAL (KARAR 98). Notion workspace zaten admin paneli görevini görüyor — Kayıtlar, Başvurular, Etkinlikler database'leri Kaan için yeterli das	2 aday
99	2026-05.md	102	5	2026-05.md:155	**Brief zinciri:** **Brief 1** (commit `dd198da`) — `scripts/notion-discover.mjs` ile Notion DB şemaları + örnek /cember sayfa dump'lanarak KARAR 99'un iskelet 	5 aday
99	2026-05.md	102	4	2026-05.md:4015	**Kritik gözlem:** Astro iskeleti (KARAR 99'da kuruldu) atmosferi tahminden yazmıştı — opacity 0.14 (legacy 0.035), blur 140px (legacy yok), drift animation (le	5 aday
99	2026-05.md	102	4	2026-05.md:3919	**KARAR 99 sonuç:** Astro iskelet üç katmanda yaşıyor — lokal (clone), GitHub (`astro-iskelet` branch), Vercel (preview deploy). main dokunulmadı, eski 3 statik	5 aday
104	2026-05.md	119	5	2026-05.md:2290	**P6c /anadolu anchor nav atlandı (KARAR 104).** Sayfa uzun UX işi, lansman blocker değil. Lansman sonrası ilk hafta veya Brief G.5 / H'da değerlendirilir.	7 aday
104	2026-05.md	119	5	2026-05.md:2121	**P5 atlandı (KARAR 104):** Paragraf gap baseline — opsiyonel + 60 dk sınırı. Lansman sonrası CSS refactor turu paketine eklendi.	7 aday
104	2026-05.md	119	5	2026-05.md:121	**Bu sohbetin işi:** #21 Section Components'in ilk yarısı. Claude.ai (strateji + brief'ler) ↔ Claude Code (kod + test + commit) iki kanal arasında **Brief 1 → 3	7 aday
112	2026-05.md	170	7	2026-05.md:177	**Brief zinciri:** **Brief 1** (KARAR 112) — `src/pages/[...slug].astro` dinamik route (rest spread, `/` + 18 sayfa), `getCollection('sayfalar')` slug map, `<Co	3 aday
112	2026-05.md	170	6	2026-05.md:4755	**Bağlam:** Pipeline (KARAR 112) + atmosfer (KARAR 113) + hero glow parity (KARAR 114) çalışıyor. Ana sayfa kompozisyonu sıraya geldi: plugin prose output sade 	3 aday
112	2026-05.md	170	2	2026-05.md:4606	### #23 Brief 1 — Pipeline Kurulumu (Dinamik Route + Plugin Render) (KARAR 112)	3 aday
115	2026-05.md	173	5	2026-05.md:5183	**Item 1 — Nav alt sınırı (`95f1fbe`):** Kaan eyeball'da yakaladı, nav backdrop-blur sınırı body bg'ye keskin oturuyor, koyu geçiş bandı görünüyor. CC teşhis: `	8 aday
115	2026-05.md	173	5	2026-05.md:1044	1. **Ana sayfa en sondaki Ateş Mektupları yerine form-anchor koydum, yanlış mı?** — Direkt cevap: yanlış değil ama F.5 scope'unu büyütüyor. Mevcut durumda ana s	8 aday
115	2026-05.md	173	4	2026-05.md:883	"- **Bug B — ""Ateşin yanına gel"" yanlış davet metni:** /acik-kapi form üstündeki davet metni ""Ateşin yanına gel"" — Ateş Mektupları'nın iç CTA başlığından (KARAR "	8 aday
116	2026-05.md	192	6	2026-05.md:5288	1. **KARAR 102 ruhu defansif çift katman pattern'i (KARAR 116) Notion-side niyet ayrımına ölçeklendi.** Item 9'da plugin programatik ayıramayacak yapısal eşitli	13 aday
116	2026-05.md	192	5	2026-05.md:964	"2. **Kaan deploy disiplini ikinci tatbik (KARAR 116 pekiştirildi).** İlk denemede ""Deploy"" tuzağına düştü, panik yok — Çekirdek + Arşiv'den eski Active deployme"	13 aday
116	2026-05.md	192	5	2026-05.md:861	"- **Deploy disiplini (KARAR 116 ikinci tatbik):** Kaan ilk denemede ""Deploy"" düğmesine bastı, yeni deployment yarattı (tuzak). Çekirdek + Arşiv'den eski Active "	13 aday
101	2026-05.md	111	5	2026-05.md:4593	2. **B — `docs/sayfa-yazim-rehberi.md`:** Repo içi 3 satırlık konvansiyon notu. Kaan veya editör yeni sayfa açarken referans alır. KARAR 101 `.claude/notes.md`'	9 aday
